Comments,HateSpeech,Emotion
??? ???? ???? ??? ???? ???? ??? ???? ????? ???? ????? ???? ?????????? ??? ???? ????? ??????? ?? ????? ??????? ???????,hate,sad
?? ???? ?????? ???????? ?????? ????? ?????? ???? ??? ???????? ?????????? ??? ??? ?????? ??????? ???,nonhate,angry
????? ??? ?????? ???? ?????? ???? ????? ?????????,hate,angry
???? ???? ?????????,hate,sad
????? ???? ?????? ????? ,hate,sad
"??? ???? ????? ??? ?? ????? ??? ????, ???? ??? ????? ??????",nonhate,sad
??????? ???? ????? ????? ?????? ?????,hate,angry
??????? ?????? ????? ????,hate,angry
???? ??? ???? ??????????,nonhate,sad
???? ????? ?? ??? ???? ???? ????? ????? ???,nonhate,happy
???? ??? ??????? ???? ??? ?? ??? ?? ??????,hate,sad
?????? ???? ???? ??? ????? ????? ? ????? ??? ??????? ?? ,nonhate,happy
?????? ?? ???? ????? ???? ,nonhate,sad
"????? ??? ???, ??? ??? ??? ??, ????? ?? ????, ?? ???? ??? ?? ???? ?????????",hate,angry
??? ?????? ???? ???? ?? ???? ???? ??? ???,nonhate,sad
"??????? ??????, ??? ???? ??????",nonhate,happy
??? ?? ??????? ???????? ??? ??????,hate,angry
?????? ???????? ???????? ????? ?? ???? ???????? ?????? ??? ?? ??????? ????? ???,hate,sad
"? ???? ?? ?????????? ???????, ??? ????? ???? ???? ???? ???????? ???? ????",nonhate,sad
???? ??? ????? ????? ?? ???? ??????? ,nonhate,happy
????? ??? ??? ????? ?????? ?? ??????? ???????? ?? ?? ??? ???? ,nonhate,happy
???? ??? ??? ???? ??????? ????????? ??? ???? ????????? ,nonhate,sad
??? ??? ??? ??? ??? ???? ???????? ?????? ??????? ??? ????? ???? ?? ?? ,nonhate,sad
??????? ???????? ??? ???????? ,nonhate,angry
????? ?????? ??? ????? ???? ???? ???? ??? ,nonhate,sad
?????? ???? ?????? ????? ,nonhate,sad
????? ?????? ??? ??????? ???,nonhate,sad
??? ?? ????? ????????? ????????????? ????? ??? ??? ??? ??? ??? ,hate,angry
