Comments,HateSpeech,Emotion
যদি দেখো আকাশ ভরা তারা বুঝে নিও খেতে যাচ্ছ তুমি পু ট কি মারা সারা।এনজয় করো বেশি বেশি। মডেলদের কে নিয়ে ভবিষ্যৎ উজ্জ্বল,hate,sad
ওর পুরা গুষ্টি শ্বশুরের গুষ্টি বাপের গুষ্টি সবার সকল সম্পত্তি বাজেয়াপ্ত করা হোক স্থাবর অস্থাবর সব।,nonhate,angry
এতদিন এসব অপকর্ম নিউজ কোথায় ছিল? দালাল সাংবাদিক।,hate,angry
নারী মানে ষড়যন্ত্র।,hate,sad
চোরের মুখে বাংলার ব্যথা ,hate,sad
"যেই দেশে পানির দাম আর দুধের দাম সমান,,,,, আমরা সেই দেশের নাগরিক",nonhate,sad
মানুষের হুগা মারার বাজেট এবারের বাজেট,hate,angry
ধর্ষকের শাস্তি হওয়া উচিত,hate,angry
লোভে পাপ পাপে প্রেগনেন্ট,nonhate,sad
অনশন প্রথা যে বের করছে তাকে নোবেল দেওয়া হোক,nonhate,happy
দেশে এখন গাঞ্জার অভাব মনে হয় তাই এই অবস্তা,hate,sad
হোটেলে আসছো গেছো মজা তুমিও পাইছো ও পাইছে এখন বাড়িতে কি ,nonhate,happy
রাফসান কে খোদা খুঁজে ধরছে ,nonhate,sad
"হেডার গান গায়,কোন ফিল আসে না,উল্টা ভয় লাগে, কে জানি কখন কি ধইরা কাইটটালায়",hate,angry
হাই কোর্টও নারী দেখে সব ভুলে গেছে মনে হয়।,nonhate,sad
"টিকটকার যেখানে, সময় টিভি সেখানে",nonhate,happy
ওকে তো রাস্তার ফকিন্নির মতো লাগছে।,hate,angry
এইদেশে নিরাপরাদ মানুষেরি বিচার হয় বেশি খুনিরাতো উল্লাস করে আর নিরাপদে বিচরন করে,hate,sad
"৬ ভেবে যে চিল্লানিটা দিছিলাম,,,,,পরে ক্যাচ ধরার সাথে সাথে বিছানায় পড়ে গেছি",nonhate,sad
তুমি কোন শহরের মাইয়া গো লাগে উড়াধূরা ,nonhate,happy
তোমার কোন কোন জায়গা ব্যাথা গো বান্ধবী ললিতাগান টা কে কপি করছে ,nonhate,happy
গেছে দুই বছর থেকে ইন্ডিরা সিলিন্ডার করে বাইক চালাচ্ছে। ,nonhate,sad
ঐতো যেই লাউ সেই কদু হয়ে যাবে।তখন দেখবেন গ্যাসের দাম বেড়ে গেছে হা হা ,nonhate,sad
হুজুরের আবিষ্কার মহা বিপদজনক। ,nonhate,angry
গানটা সুন্দর তার পোশাক আশাক ভালো লাগে নাই ,nonhate,sad
রুচিতে কোনো সমস্যা হচ্ছে ,nonhate,sad
গানটা সুন্দর তবে ড্রেসটা নয়,nonhate,sad
এসব কি হচ্ছে বাংলাদেশে অস্ট্রেলিয়ান গাভীর মতো পেট বের করে আরো ****** ,hate,angry
চমৎকার পারফরমেন্স ,nonhate,happy
"সুমন ভাই এক্স রে মনে পড়েছিল,, তাই এই গান শুনতে চায়ছেছিল",nonhate,happy
বুকে ব্যথা অনুভব করতে চায় কিন্তু আধুনিকতার ছোঁয়া লেগেছে,nonhate,sad
আলেমদের বিরুদ্ধে লাগো আলেম কে ফাসি দেও আর পছেন্দের গান শোনো ,hate,sad
শাকিব আর পরীমণির বিয়ে দেওয়া হোক ছেলে হলে নাম রাখবে প্রিন্স মামুন আর মেয়ে হলে লায়লা,nonhate,happy
শাকিব খানের এতো দাম কেন পরিমনি তো ভালাই মোটাতাজা,hate,angry
বাংলাদেশে বিনোদনের শেষ নেই,nonhate,happy
"এবার ঈদের কোরবানি হবে, জাহেদখান, সাকিব খন, পড়িমনি,তাহেরি হুজুর, তাদের গরু নামে বিক্রি করে কোরবানি হচ্ছে ",hate,happy
একটা বেডা গরু আর একটা বেডি গরু তার মানে দুই জনেই গরু ,nonhate,happy
"এখন পর্যন্তই কোরবানির হাটে কি, নাজমুল হোসেন শান্ত নামে কোন গরু আসে নাই!",nonhate,sad
কিন্ত ষার গরু পরী মনি হয় কি করে সাকিব খান ছেলে এটা মানলাম। পরী মনি ছেলে আজ বুঝলাম,nonhate,sad
আজব দেশে আমাদের বসবাস! যেখানে মানুষ আর গরুর মধ্যে কোন বেদাবেদ নাই ,hate,sad
পরিমনির দাম সস্তা এজন্য সিরিয়ালে 50 জন বুকিং আছে!,hate,happy
"পরীমনি আড়িয়া হলো কবে,পরীমনি তো মহিলা",hate,sad
পরীমনির পরনে তো একটুকরো কাপড় অন্তত থাকা উচিত ছিলো...!!,nonhate,sad
তার মানে পরীমনি আর শাকিব খান এই দুইটাকেই আজ হাটে তোলা হয়েছে ,hate,sad
ভাই পরীমনি কিনার চেয়ে এক রাতের জন্য রাশিয়ান কিনে ফেলবো ছয় হাজার টাকা দিয়ে ,hate,happy
"বাংলাদেশেয তাহলে নায়ক, নায়িকার নামে গরু বিক্রি হচ্ছে,,কার দাম বেশি,, চাহিদা কেমন ",hate,happy
ওবাইদুল কাদের নামে কোন গুরু নাই।। ,nonhate,happy
ভাইরাল হওয়ার জন্য শাকিব খান নাম টাই যথেষ্ট সব ভাইরাল হওয়ার ধান্দা,nonhate,sad
পরিমনির কি বিচি আছে ভাইয়া ,hate,sad
"হিরু আলম, রানু মন্ডল, সিদ্দিক, ওরা দি দোষ করলো।",nonhate,angry
তাহেরী মনে হয় মাঠে ঘাস খায়,hate,happy
জায়েদ খান কই,nonhate,sad
শত্রুর দেশের লোক বাংলাদেশের ,hate,angry
যতদিন শেখ হাসিনার হাতে দেশ পথ হারাবে না বাংলাদেশ ,nonhate,happy
"এইগুলা নাটকেই সুন্দর, বাস্তব জীবন এ না",nonhate,sad
"এই সব নাটক এ দেখতে ভালো, বাস্তবে তার উল্টো ঘটে ",nonhate,sad
বাংলাদেশে জায়েদ খান আর শাহরিয়ার নাজিম জয়ের পর তৃতীয় বেহায়া হল সাকিব।নামে মাএ আজাইরা বিশ্বসেরা অলরাউন্ডার ,hate,sad
মাদারবোর্ড অলরাউন্ডার ,hate,angry
"আইসিটি সংক্ষিপ্ত,পূর্ণ রূপ যেনো কি ছিলো কি ছিলো ",nonhate,sad
হাতে ব্লেড দিয়ে পোচ দিয়ে ক্যান,nonhate,sad
